"taxaSubGroup","habitat","taicol.count","record.count","cum.total"
"Algae","is_terrestrial",37,16,21
"Amphibians","is_terrestrial",43,43,0
"Angiosperms","is_terrestrial",6284,4982,1302
"Arachnida","is_terrestrial",1954,398,1556
"Ascomycota","is_terrestrial",19,1,18
"Bacteria","is_terrestrial",90,17,73
"Basidiomycota","is_terrestrial",1915,432,1483
"Birds","is_terrestrial",714,667,47
"Chromista","is_terrestrial",118,27,91
"Coleoptera","is_terrestrial",7431,1363,6068
"Ferns","is_terrestrial",752,731,21
"Gastropods","is_terrestrial",337,250,87
"Gymnosperms","is_terrestrial",129,62,67
"Lepidoptera","is_terrestrial",5123,3525,1598
"Malacostraca","is_terrestrial",74,34,40
"Mammals","is_terrestrial",93,70,23
"Mossess","is_terrestrial",1541,719,822
"Other animals","is_terrestrial",176,64,112
"Other arthropods","is_terrestrial",154,27,127
"Other fungi","is_terrestrial",11,5,6
"Other insects","is_terrestrial",10896,1584,9312
"Protozoa","is_terrestrial",248,52,196
"Reptiles","is_terrestrial",120,100,20
"Algae","is_freshwater",457,158,299
"Amphibians","is_freshwater",43,43,0
"Angiosperms","is_freshwater",282,266,16
"Archaea","is_freshwater",1,0,1
"Ascomycota","is_freshwater",12,5,7
"Bacteria","is_freshwater",178,61,117
"Birds","is_freshwater",85,69,16
"Bivalves","is_freshwater",3,3,0
"Chromista","is_freshwater",598,260,338
"Cnidarians","is_freshwater",1,0,1
"Coleoptera","is_freshwater",219,55,164
"Ferns","is_freshwater",14,13,1
"Fishes","is_freshwater",269,217,52
"Gastropods","is_freshwater",7,6,1
"Lepidoptera","is_freshwater",9,7,2
"Malacostraca","is_freshwater",109,92,17
"Mammals","is_freshwater",3,2,1
"Mossess","is_freshwater",1,1,0
"Other animals","is_freshwater",91,30,61
"Other arthropods","is_freshwater",98,6,92
"Other fungi","is_freshwater",2,1,1
"Other insects","is_freshwater",1437,278,1159
"Protozoa","is_freshwater",144,50,94
"Reptiles","is_freshwater",16,11,5
"Algae","is_brackish",14,6,8
"Angiosperms","is_brackish",126,112,14
"Arachnida","is_brackish",1,0,1
"Ascomycota","is_brackish",8,2,6
"Bacteria","is_brackish",22,9,13
"Birds","is_brackish",5,5,0
"Chromista","is_brackish",85,33,52
"Cnidarians","is_brackish",2,1,1
"Ferns","is_brackish",3,3,0
"Fishes","is_brackish",419,326,93
"Gastropods","is_brackish",9,3,6
"Malacostraca","is_brackish",98,61,37
"Other animals","is_brackish",29,6,23
"Other arthropods","is_brackish",88,0,88
"Other insects","is_brackish",2,0,2
"Protozoa","is_brackish",9,4,5
"Reptiles","is_brackish",2,1,1
"Algae","is_marine",473,158,315
"Angiosperms","is_marine",27,20,7
"Arachnida","is_marine",19,0,19
"Archaea","is_marine",4,0,4
"Ascomycota","is_marine",234,72,162
"Bacteria","is_marine",260,21,239
"Basidiomycota","is_marine",13,4,9
"Birds","is_marine",39,35,4
"Bivalves","is_marine",829,268,561
"Cephalopods","is_marine",111,44,67
"Chromista","is_marine",1443,416,1027
"Cnidarians","is_marine",983,373,610
"Coleoptera","is_marine",37,3,34
"Echinoderms","is_marine",256,87,169
"Fishes","is_marine",3215,2274,941
"Gastropods","is_marine",2811,1045,1766
"Malacostraca","is_marine",1895,576,1319
"Mammals","is_marine",35,31,4
"Mossess","is_marine",1,1,0
"Other animals","is_marine",397,122,275
"Other arthropods","is_marine",1632,56,1576
"Other fungi","is_marine",14,5,9
"Other insects","is_marine",22,7,15
"Other molluscs","is_marine",51,15,36
"Protozoa","is_marine",473,3,470
"Reptiles","is_marine",19,14,5
